Tiempo,ControlPWM,ThetaMedido,ThetaEstimado,VelocidadMedida,VelocidadEstimada
7.54,200,5.833746,5.87039,-3.9542,5.320069
7.56,200,5.841074,5.895761,-3.908398,6.67746
7.58,200,5.843801,5.885693,-3.9542,5.65841
7.6,200,5.844173,5.884102,-3.923666,5.502649
7.62,200,5.844943,5.885919,-3.923666,5.579077
7.64,200,5.834873,5.856409,-3.9542,4.131777
7.66,200,5.8254,5.853335,-3.877864,4.698853
7.68,200,5.83356,5.892655,-3.908398,7.074981
7.7,200,5.823513,5.843044,-3.9542,4.055101
7.72,200,5.821092,5.863469,-3.877864,5.857419
7.74,200,5.820477,5.861789,-3.816795,5.778044
7.76,200,5.820114,5.86216,-4.000001,5.83804
7.78,200,5.813715,5.84502,-3.938933,5.044248
7.8,200,5.813459,5.858671,-3.908398,6.132485
7.82,200,5.809906,5.846536,-3.938933,5.486999
7.84,200,5.806094,5.844493,-3.938933,5.652336
7.86,200,5.803095,5.843115,-3.862597,5.800109
7.88,200,5.803711,5.850205,-3.938933,6.301346
7.9,200,5.810497,5.86648,-3.923666,6.994475
7.92,200,5.804687,5.835574,-3.923666,5.075117
7.94,200,5.808369,5.861882,-3.938933,6.816867
7.96,200,5.807725,5.84853,-3.9542,5.828384
7.98,200,5.807338,5.851243,-3.877864,6.073497
8,200,5.809537,5.857439,-3.893131,6.370063
8.02,0,5.812068,5.859436,-3.862597,-37.36957
8.04,0,5.821073,5.006009,-3.938933,-104.7889
8.06,0,5.678876,4.770034,-16.33588,-111.094
8.08,0,4.987803,3.150068,-47.22139,-178.7666
8.1,0,3.6993,1.092812,-74.77865,-229.695
8.12,0,2.390248,0.08502507,-77.3588,-196.9015
8.14,0,0.9539663,-1.451251,-79.52675,-194.5708
8.16,0,-0.4602434,-2.603523,-49.96948,-164.1182
8.18,0,-0.04447365,1.187324,8.900766,96.56886
8.2,0,0.02807834,-0.08545399,-3.633589,-9.088455
8.22,0,-0.05219343,-0.1752909,-11.49619,-9.24445
8.24,0,-0.220245,-0.4844331,-12.64123,-19.07774
8.26,0,-0.2471493,-0.2101354,-6.396949,4.641886
8.28,0,-0.268885,-0.2796816,-6.778628,1.055552
8.3,0,-0.289999,-0.2870878,-6.503819,2.276289
8.32,0,-0.3131335,-0.3135523,-6.320613,2.179372
8.34,0,-0.3387078,-0.3394947,-6.213742,2.33135
8.36,0,-0.3224392,-0.2457263,-5.35878,8.269976
8.38,0,-0.3109637,-0.2606432,-4.671758,6.126002
8.4,0,-0.2977755,-0.2407568,-3.984734,6.556498
8.42,0,-0.2599607,-0.1627064,-3.770993,9.432055
8.44,0,-0.2437716,-0.1981295,-4.000001,5.285519
8.46,0,-0.2160304,-0.1418971,-4.015268,7.315921
8.48,0,-0.1971915,-0.1484124,-3.923666,5.201901
8.5,0,-0.1790866,-0.1291579,-3.893131,5.164242
8.52,0,-0.1735036,-0.1484446,-3.938933,3.1822
8.54,0,-0.1590469,-0.1141053,-4.000001,4.63355
8.56,0,-0.1430261,-0.1013714,-3.908398,4.263278
8.58,0,-0.1350619,-0.1092264,-3.908398,2.971427
8.6,0,-0.120989,-0.08230966,-3.969467,3.875527
8.62,0,-0.1104881,-0.08268444,-3.969467,2.951615
8.64,0,-0.09671629,-0.06243617,-3.893131,3.360394
8.66,0,-0.08535662,-0.0585804,-3.923666,2.693894
8.68,0,-0.07047262,-0.03757262,-3.877864,3.067212
8.7,0,-0.05603932,-0.02727034,-3.938933,2.642462
8.72,0,-0.05814472,-0.05975788,-3.984734,0.284245
8.74,0,-0.06361376,-0.06473061,-4.076337,0.362191
8.76,0,-0.05498575,-0.030552,-4.778627,2.297
8.78,0,-0.05980834,-0.0654765,-4.916032,-0.02066302
8.8,0,-0.07877813,-0.1026555,-5.74046,-1.308439
