Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
3.96,-0.8151855,-5,-1.250515,0.2442087,51.84659,52.66359,-5.65193,-5.16164,19.3993,8364
3.98,100.823,-5,-0.4094802,0.9514623,50.47255,36.63761,-4.977129,-4.708674,20.57798,8392
4,-27.65906,-5,0.8499207,1.546036,58.83896,31.93555,-5.247049,-4.609962,20.2582,8348
4.02,-129.9556,-5,1.817342,1.945815,36.93055,12.36856,-5.65193,-4.812048,16.99339,8372
4.04,71.70917,-5,2.13814,2.025451,10.76261,-11.64958,-4.572248,-4.350644,13.72956,8372
4.06,-8.78418,-5,1.857385,1.762526,-18.2603,-6.351021,-4.639729,-4.315444,8.824582,8328
4.08,-183.7646,-5,1.063328,1.240023,-45.46642,-8.786125,-5.65193,-5.054708,2.240756,8328
4.1,-62.14319,-5,0.04023907,0.4619513,-52.93207,-24.62693,-5.58445,-5.47984,-2.271766,8356
4.12,171.3669,-5,-0.8275664,-0.276078,5.846576,-19.52692,-4.572248,-5.111046,-1.997366,8380
4.14,77.89471,-5,-0.2550493,-0.343109,9.434362,5.401903,-4.639729,-4.807923,2.270147,8304
4.16,41.95844,-5,-0.5532908,-0.1950522,-28.42825,13.40837,-4.639729,-4.681956,2.76597,8312
4.18,-125.9723,-5,-1.247132,-0.3226873,-41.23741,17.06303,-5.65193,-5.326434,-0.07149506,8320
4.2,108.4343,-5,-2.331551,-0.6750534,51.90766,6.515602,-4.977129,-5.321325,-0.3451357,8388
4.22,79.46967,-5,-1.227613,-0.5372704,53.28171,19.53655,-4.977129,-5.089025,5.560008,8324
4.24,49.9071,-5,-1.077188,-0.2434665,-18.80992,24.72254,-4.977129,-4.941627,7.239208,8332
4.26,44.76874,-5,-1.311795,-0.06768136,-26.04656,25.99175,-4.977129,-4.919484,7.247225,8324
4.28,45.33789,-5,-1.61333,-0.02358049,6.075583,27.35275,-5.044609,-4.98974,7.302385,8328
4.3,-33.97058,-5,-0.1598615,0.396834,54.44202,23.29605,-5.38201,-5.020057,10.89931,8344
4.32,-12.06116,-5,0.3605741,0.6964371,21.05268,10.89916,-5.247049,-4.941362,10.22512,8352
4.34,-46.87573,-5,0.4723943,0.7276583,-1.893885,4.46863,-5.38201,-5.040967,7.739124,8364
4.36,36.03815,-5,0.3064861,0.6186209,-18.80992,-2.620557,-4.977129,-4.906926,6.050018,8356
4.38,23.43506,-5,-0.2015633,0.3607995,-32.85572,2.746874,-4.977129,-4.926299,4.052087,8344
4.4,37.521,-5,-0.944222,0.05640408,-42.13817,7.509618,-4.977129,-5.011447,2.743176,8352
4.42,41.06885,-5,-0.8131365,-0.01419497,20.16719,11.63601,-4.977129,-4.987587,4.418394,8336
4.44,25.00739,-5,-0.3090097,0.1444835,21.15956,13.01613,-4.977129,-4.88899,6.275129,8332
4.46,-51.17761,-5,0.0007036999,0.2933623,11.12902,11.12699,-5.314529,-5.024771,5.815578,8340
4.48,19.12286,-5,0.3131192,0.4234701,10.28932,1.247267,-4.977129,-4.876679,5.73516,8360
4.5,-2.131958,-5,0.320164,0.410713,-3.344267,1.771473,-4.977129,-4.844953,4.410744,8344
4.52,-3.817871,-5,0.07688406,0.317079,-17.11526,0.7643701,-4.977129,-4.882183,2.93021,8348
4.54,-7.747803,-5,-0.1763581,0.1607589,-10.1229,0.743293,-5.044609,-4.975695,1.809892,8324
4.56,10.77856,-5,-0.1036017,0.08671288,0.1977187,0.1000962,-4.977129,-4.956446,2.104589,8324
4.58,-170.1389,-5,-0.01471262,-0.0520615,2.640467,0.8532085,-5.989328,-5.540691,0.1506153,8352
4.6,-95.026,-5,0.04199203,-0.2483218,-0.5351062,-17.11145,-5.989328,-5.801066,-1.165732,8400
4.62,-67.75757,-5,0.09713677,-0.5548202,-0.596175,-21.5965,-5.989328,-5.911265,-2.265847,8388
4.64,162.5575,-5,-0.1421809,-0.713643,-16.33664,-20.5597,-4.707209,-5.20544,-0.7938659,8376
4.66,89.59485,-5,-0.9063776,-0.8402191,-47.52749,5.94464,-4.639729,-4.920883,-0.8395094,8296
4.68,78.60803,-5,-2.026999,-0.9080123,-62.19925,19.88056,-4.639729,-4.895285,-0.7631495,8308
4.7,28.26349,-5,-2.638572,-0.9538825,-15.68015,29.97159,-5.044609,-5.144437,0.5708168,8308
4.72,-21.79822,-5,-0.2733843,-0.2197458,87.64813,23.55251,-5.247049,-5.007312,8.46373,8348
4.74,86.20892,-5,0.8585565,0.5169698,65.15958,10.75634,-4.43729,-4.382187,10.56491,8356
4.76,-34.89807,-5,1.753157,1.088172,34.45728,10.09539,-4.572248,-4.179891,9.486042,8292
